dataset,timestamp,transform,quantization,overall_score,model_path,mmlu,gsm8k
mmlu_gsm8k_1024,2026-02-04 05:36:18,original,r4-gptq-w4a16-g128,0.8467,data/models/Qwen/Qwen3-8B-r4-gptq-w4a16-g128,0.7949,0.8984
mmlu_gsm8k_1024,2026-02-04 05:36:18,original,baseline,0.835,data/models/Qwen/Qwen3-8B,0.793,0.877
mmlu_gsm8k_1024,2026-02-04 05:36:18,original,baseline,0.835,data/models/Qwen/Qwen3-8B,0.793,0.877
mmlu_gsm8k_1024,2026-02-04 05:36:18,spinquant-r1r2,r4-gptq-w4a8-dynamic,0.833,data/models/Qwen/Qwen3-8B-r1r2-r4-gptq-w4a8-dynamic,0.7871,0.8789
mmlu_gsm8k_1024,2026-02-04 05:36:18,spinquant-r1r2,baseline,0.832,data/models/Qwen/Qwen3-8B-r1r2,0.7949,0.8691
mmlu_gsm8k_1024,2026-02-04 05:36:18,spinquant-r1r2,r4-gptq-w4a16-g128,0.8223,data/models/Qwen/Qwen3-8B-r1r2-r4-gptq-w4a16-g128,0.7871,0.8574
mmlu_gsm8k_1024,2026-02-04 05:36:18,spinquant-r1r2,r4-gptq-w4a8-static-mix-precision,0.8222,data/models/Qwen/Qwen3-8B-r1r2-r4-gptq-w4a8-static-mix-precision,0.7715,0.873
mmlu_gsm8k_1024,2026-02-04 05:36:18,original,gptq-w4a16-g128,0.8174,data/models/Qwen/Qwen3-8B-gptq-w4a16-g128,0.7578,0.877
mmlu_gsm8k_1024,2026-02-04 05:36:18,spinquant-r1r2,gptq-w4a16-g128,0.8125,data/models/Qwen/Qwen3-8B-r1r2-gptq-w4a16-g128,0.7637,0.8613
mmlu_gsm8k_1024,2026-02-04 05:36:18,original,gptq-w4a8-dynamic,0.8056,data/models/Qwen/Qwen3-8B-gptq-w4a8-dynamic,0.7461,0.8652
mmlu_gsm8k_1024,2026-02-04 05:36:18,spinquant-r1r2,gptq-w4a8-dynamic,0.8028,data/models/Qwen/Qwen3-8B-r1r2-gptq-w4a8-dynamic,0.7754,0.8301
mmlu_gsm8k_1024,2026-02-04 05:36:18,spinquant-r1r2,r4-gptq-w4a16,0.793,data/models/Qwen/Qwen3-8B-r1r2-r4-gptq-w4a16,0.7578,0.8281
mmlu_gsm8k_1024,2026-02-04 05:36:18,original,r4-gptq-w4a16,0.7442,data/models/Qwen/Qwen3-8B-r4-gptq-w4a16,0.6738,0.8145
mmlu_gsm8k_1024,2026-02-04 05:36:18,original,r4-gptq-w4a8-dynamic,0.7226,data/models/Qwen/Qwen3-8B-r4-gptq-w4a8-dynamic,0.6719,0.7734
mmlu_gsm8k_1024,2026-02-04 05:36:18,spinquant-r1r2,r4-gptq-w4a8-static,0.6816,data/models/Qwen/Qwen3-8B-r1r2-r4-gptq-w4a8-static,0.6797,0.6836
mmlu_gsm8k_1024,2026-02-04 05:36:18,original,r4-gptq-w4a8-static-mix-precision,0.6543,data/models/Qwen/Qwen3-8B-r4-gptq-w4a8-static-mix-precision,0.5625,0.7461
mmlu_gsm8k_1024,2026-02-04 05:36:18,original,r4-gptq-w4a8-static,0.4756,data/models/Qwen/Qwen3-8B-r4-gptq-w4a8-static,0.3516,0.5996
